video_id,title,published_at,channel_title,channel_id,channel_published_at,channel_name,subscriber_count,video_count,view_count,like_count,comment_count,duration,caption,licensed_content,tags,retrieved_at,duration_seconds,publishedAt,days_since_published,channel_age_days,subscriber_growth_rate,upload_frequency,views_per_upload,engagement_per_upload,subscriber_per_upload,log_view_count,log_duration_seconds,log_subscriber_growth_rate,log_upload_frequency,log_views_per_upload,log_engagement_per_upload,log_subscriber_per_upload,log_upload_x_engagement,log_upload_freq_squared
LCjB1NqFPwM,"""Ridiculous, A Shambles!"" talkSPORT Boxing REACT to Oleksandr Usyk beating Daniel Dubois in round 5",2025-07-19T23:12:47Z,talkSPORT Boxing,UCVIoIHQIuIL5_ec2W3C9BAw,2021-09-27 15:12:41.233145,talkSPORT Boxing,245000,4165,308816,2731,2683,PT11M18S,false,True,"talksport, Simon Jordan, Talksport Live, Boxing, talksport boxing, talksport Simon Jordan, talkboxing, Boxing Latest, Boxing highlights, talksport live YouTube, talk boxing, Boxing News, Boxing 2025, Boxing 2025 latest fight, Usyk, Oleksandr Usyk, Usyk beats Dubois, Usyk stops Dubois, Usyk knocks out Dubois, Tyson Fury, Derek Chisora, Joseph Parker, Oleksandr Usyk knockout, Dave Allen, Adam Catterall, Gareth A Davies, Spencer Oliver, Usyk Dubois 2, Usyk vs Dubois 2, #usyk",2025-07-22T07:38:13.732847,678.0,2025-07-19 23:12:47,5,1397.0,175.37580529706514,2.981388690050107,74.14549819927971,1.2998799519807924,58.8235294117647,12.640504147430935,6.520621127558696,5.172616975985745,2.981388690050107,4.319426210203454,0.8328569267819487,4.091399051992344,2.483070221937592,8.888678521158694
ulsBY57oK0w,"Pacquiao vs Barrios HIGHLIGHTS: July 19, 2025 | PBC PPV on Prime Video",2025-07-20T06:12:43Z,Premier Boxing Champions,UCWXYAGB9SadlL6p5Bb66wWw,,Premier Boxing Champions,2660000,4525,2506292,17212,5974,PT3M28S,false,True,"Boxing, Manny Pacquiao, Mario Barrios, PBC, boxer, broner, canelo, fighter, fighting, highlights, ibf, ibo, knockouts, ko, mayweather, munguia, porter, spence, thurman, tko, wba, wbc, wbo, wilder, showtime boxing, premier boxing, fight highlights, boxing highlights, manny pacquiao, mario barrios, pacquiao vs barrios, barrios vs pacquiao, barrios, pacquiao, best of, ppv, pbc ppv, pbc on prime video, boxing, boxing ppv, amazon prime, prime video, pacquiao highlights, manny pacquiao vs mario barrios",2025-07-22T07:38:04.345094,208.0,2025-07-20 06:12:43,5,,,,553.8766850828729,5.123977900552486,587.8453038674033,14.734315326997066,5.342334251964811,,,6.318745900018924,1.8122118691266933,6.378163507164312,,
QqwO-7CAx6c,The Paul Gallen fight fallout from inside Sonny Bill Williams' dressing room | Stuff.co.nz,2025-07-16T23:25:44Z,Stuff,UCZgnsVbXJPZRg5kmtKyq6Ew,,Stuff,83100,4559,85073,364,37,PT1M15S,false,True,"news, breaking news, NZStuff, Stuff, NZ, New, Zealand, Paul, Gallen, Sonny, Bill, Williams, Boxing, Donny Bill, Fight, Sydney, Australia",2025-07-22T07:38:13.040512,75.0,2025-07-16 23:25:44,8,,,,18.66045185347664,0.08795788550120641,18.227681509102872,11.351276744965613,4.330733340286331,,,2.9786090978463937,0.08430243950553176,2.9563509859826773,,
h-aYBc_xXDU,Clipse - Let God Sort Em Out ALBUM REVIEW,2025-07-16T04:20:25Z,theneedledrop,UCt7fwAhXDy3oNFTAzF2o8Pw,,theneedledrop,3030000,4777,952824,54307,6800,PT21M23S,false,True,"album, review, music, reviews, indie, new, lyrics, listen, track, concert, live, update, the needle drop, anthony fantano, vlog, talk, discussion, music nerd, song, pusha t, rap, hip hop, rapper, reaction",2025-07-22T07:38:18.257950,1283.0,2025-07-16 04:20:25,9,,,,199.4607494243249,12.791919614821017,634.289302909776,13.767186535134085,7.157735484249907,,,5.300618464112754,2.6240828855126046,6.4540804902742455,,
Li1YGyhE-Es,Lightning strikes & electric rugby! ⚡| USA v England highlights,2025-07-20T01:51:09Z,England Rugby,UCmi7CahP3G3YySOAFOfSnkw,,England Rugby,285000,5314,357477,2565,1052,PT7M59S,false,False,"England, Rugby, England Rugby, RFUTV",2025-07-22T07:38:17.830638,479.0,2025-07-20 01:51:09,5,,,,67.2707941287166,0.6806548739179525,53.63191569439217,12.786829100761093,6.173786103901937,,,4.22348206353943,0.5191835233641272,4.000618248503259,,
zf_El7XbFbs,AJ Styles RETURNS To TNA After 11 Years | TNA Slammiversary 2025 Highlights,2025-07-21T02:35:45Z,TNA Wrestling,UCOp8wkVqdrWbFYHjDv946QQ,,TNA Wrestling,5180000,5450,1308213,43955,3132,PT3M9S,false,True,"IMPACT Wrestling, TNA Wrestling, TNA IMPACT, IMPACT Highlights, TNA, IMPACT, TNA Wrestling Highlights, TNA Wrestling Full Show, TNA Wrestling Full Episode, Watch Wrestling, TNA Watch Wrestling, AEW, WWE, Wrestling, Pro Wrestling, WWE Raw, WWE Smackdown, AEW Dynamite, tna impact highlights, tna highlights, impact wrestling news, TNA 2025, TNA Wrestling 2025, Leon Slater, AJ Styles, TNA Slammiversary, Slammiversary 2025",2025-07-22T07:38:04.213800,189.0,2025-07-21 02:35:45,4,,,,240.03908256880734,8.639816513761469,950.4587155963303,14.08417340617955,5.247024072160486,,,5.484959088678092,2.265902074599137,6.85799629703643,,
Bj1oMr2bdoM,The Hardys vs. Team 3D: One LAST Time?! | TNA Slammiversary 2025 Highlights,2025-07-21T03:03:14Z,TNA Wrestling,UCOp8wkVqdrWbFYHjDv946QQ,,TNA Wrestling,5180000,5450,480783,11376,1149,PT3M33S,false,True,"IMPACT Wrestling, TNA Wrestling, TNA IMPACT, IMPACT Highlights, TNA, IMPACT, TNA Wrestling Highlights, TNA Wrestling Full Show, TNA Wrestling Full Episode, Watch Wrestling, TNA Watch Wrestling, AEW, WWE, Wrestling, Pro Wrestling, WWE Raw, WWE Smackdown, AEW Dynamite, tna impact highlights, tna highlights, impact wrestling news, TNA 2025, TNA Wrestling 2025, Bully Ray, Matt Hardy, Jeff Hardy, Team 3D, The Dudley Boyz, The Hardys, TNA Slammiversary, Slammiversary 2025",2025-07-22T07:38:04.469342,213.0,2025-07-21 03:03:14,4,,,,88.21706422018349,2.2981651376146788,950.4587155963303,13.083173383779197,5.365976015021851,,,4.491072324206749,1.1933662949319577,6.85799629703643,,
9hUs7KOWwts,FULL TNA Slammiversary 2025 Highlights - Watch On Demand on TNA+ NOW!,2025-07-21T04:00:50Z,TNA Wrestling,UCOp8wkVqdrWbFYHjDv946QQ,,TNA Wrestling,5180000,5450,348988,5523,415,PT18M46S,false,True,"IMPACT Wrestling, TNA Wrestling, TNA IMPACT, IMPACT Highlights, TNA, IMPACT, TNA Wrestling Highlights, TNA Wrestling Full Show, TNA Wrestling Full Episode, Watch Wrestling, TNA Watch Wrestling, AEW, WWE, Wrestling, Pro Wrestling, WWE Raw, WWE Smackdown, AEW Dynamite, tna impact highlights, tna highlights, impact wrestling news, TNA 2025, TNA Wrestling 2025",2025-07-22T07:38:05.190033,1126.0,2025-07-21 04:00:50,4,,,,64.03449541284404,1.0895412844036698,950.4587155963303,12.7627956820632,7.027314514039777,,,4.1749178277840455,0.7369445607406384,6.85799629703643,,
8am0h58hfMU,DON'T FEED IT,2025-07-18T19:30:20Z,Markiplier,UC7_YxT-KID8kRbqZo7MyscQ,,Markiplier,37700000,5747,1457716,83272,3156,PT32M33S,false,True,"scary games, horror games, indie horror, behind you, don't feed it, don't feed it game, creepy game, creepypasta, hole, markiplier scary gaes, markiplier scares, markiplier indie horror, markiplier don't feed it",2025-07-22T07:38:10.442986,1953.0,2025-07-18 19:30:20,7,,,,253.6481642596137,15.03880285366278,6559.944318775013,14.192382071201688,7.577633832602728,,,5.5398828444281865,2.7750109645946037,8.788889822610955,,
BxY5l4ZK61I,Monster High Fright Song ft. KATSEYE | Official Music Video | Monster High,2025-07-18T04:00:15Z,Monster High,UCMoWQ_lvBWARyM7r1B3ZIIg,,Monster High,3160000,6311,3102834,342473,0,PT2M44S,false,True,"Monster High, mattel, we are monster high, draculaura, monster high cleo, monster high twyla, monster high frankie, lagoona blue, monster high videos, monster high clawdeen, EDIT_Original, SC_MH Music VIdeos, FORM_Live Action, TYPE_Entertainment, Fright Song, Katseye Fright Song, Katseye, Katseye Song, Katseye Touch, Katseye Mama, Katseye Live, Katseye Touch Live, Katseye Debut Live, katseye buttons, katseye my way, katseye new song, my way katseye, CHAR_Katseye",2025-07-22T07:38:09.758585,164.0,2025-07-18 04:00:15,7,,,,491.6548882902868,54.266043416257325,500.71304072254793,14.947826767669305,5.10594547390058,,,6.1998089051597045,4.012158676820957,6.218028324221056,,
